SNO,ProductId,Title,Artist,ISRC,Album,Category,Language,Image URL
1,25678825,Perfect 10: Love Story,Various,null,null,null,Hindi,00000000000025678825-128x128_72dpi_RGB.jpg
2,25691859,Perfect 10: Love Story,Shaan,INS179900041,null,null,Hindi,00000000000025691859-128x128_72dpi_RGB.jpg
3,25691886,Perfect 10: Love Story,KK,INS170900405,null,null,Hindi,00000000000025691886-128x128_72dpi_RGB.jpg
4,25691866,Perfect 10: Love Story,Kailash Kher,INS170600102,null,null,Hindi,00000000000025691866-128x128_72dpi_RGB.jpg
5,25691858,Perfect 10: Love Story,Alka Yagnik;Shaan ,INS170300030,null,null,Hindi,00000000000025691858-128x128_72dpi_RGB.jpg
6,25691884,Perfect 10: Love Story,Asha Bhosle;Udit Narayan;Vaishali,INS170000585,null,null,Hindi,00000000000025691884-128x128_72dpi_RGB.jpg
7,25691895,Perfect 10: Love Story,Sreeram Chandra,INS171000293,null,null,Hindi,00000000000025691895-128x128_72dpi_RGB.jpg
8,25691856,Perfect 10: Love Story,Sohail Sen;Tarannum Malik,INS170900351,null,null,Hindi,00000000000025691856-128x128_72dpi_RGB.jpg
9,25691880,Perfect 10: Love Story,Neeraj Shridhar,INS171000265,null,null,Hindi,00000000000025691880-128x128_72dpi_RGB.jpg
10,25691868,Perfect 10: Love Story,Rahat Fateh Ali Khan;Shankar Mahadevan;Richa Sharma,INS170900501,null,null,Hindi,00000000000025691868-128x128_72dpi_RGB.jpg
11,25691865,Perfect 10: Love Story,A R Rahman;Chinmayee,INS170601060,null,null,Hindi,00000000000025691865-128x128_72dpi_RGB.jpg
12,25691885,Perfect 10: Love Story,Shaan,INS179900099,null,null,Hindi,00000000000025691885-128x128_72dpi_RGB.jpg
13,25691850,Perfect 10: Love Story,Mohit Chauhan;Shreya Ghoshal,INS171100116,null,null,Hindi,00000000000025691850-128x128_72dpi_RGB.jpg
14,25691894,Perfect 10: Love Story,Himani;Ravindra,INS171000408,null,null,Hindi,00000000000025691894-128x128_72dpi_RGB.jpg
15,25691896,Perfect 10: Love Story,Anusha Mani;Neuman Pinto;Nikhil Dsouza,INS171000196,null,null,Hindi,00000000000025691896-128x128_72dpi_RGB.jpg
16,25691874,Perfect 10: Love Story,Rahat Fateh Ali Khan;Shreya Ghoshal;Shankar Mahadevan,INS171000230,null,null,Hindi,00000000000025691874-128x128_72dpi_RGB.jpg
17,25691889,Perfect 10: Love Story,KK,INS170701312,null,null,Hindi,00000000000025691889-128x128_72dpi_RGB.jpg
18,25691869,Perfect 10: Love Story,Roopkumar Rathod,INS170816183,null,null,Hindi,00000000000025691869-128x128_72dpi_RGB.jpg
19,25691870,Perfect 10: Love Story,Kailash Kher,INS170900240,null,null,Hindi,00000000000025691870-128x128_72dpi_RGB.jpg
20,25691857,Perfect 10: Love Story,Alka Yagnik;Udit Narayan,INS170400018,null,null,Hindi,00000000000025691857-128x128_72dpi_RGB.jpg
21,25691898,Perfect 10: Love Story,Sonu Nigam;Alka Yagnik,INS170600223,null,null,Hindi,00000000000025691898-128x128_72dpi_RGB.jpg
